Vivado Simulator 2019.1
Time resolution is 1 ps
Block Memory Generator module dev_tb.DUT.design_1_i.microblaze_0_local_memory.lmb_bram.inst.native_mem_mapped_module.blk_mem_gen_v8_4_3_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
Match [0]: ac7
Match [1]: 5e6
Match [2]: da4
Match [3]: 96d
Match [4]: baa
Match [5]: 98c
Match [6]: 1a51
Match [7]: 1063
Match [8]: 9b
Match [9]: 1780
Match [10]: 590
Match [11]: 1501
Match [12]: fdb
Match [13]: db9
Match [14]: 1130
Match [15]: a85
Match [16]: 12a
Match [17]: 63e
Match [18]: 1393
Match [19]: efc
Match [20]: 597
Match [21]: 1b2f
Match [22]: 6c1
Match [23]: 1580
Match [24]: 1319
Match [25]: 15c1
Match [26]: 1d8
Match [27]: 1cf9
Match [28]: 972
Match [29]: 922
Match [30]: 199c
Match [31]: a5e
Match [32]: add
Match [33]: 18dc
Match [34]: 146
Match [35]: 706
Match [36]: 1e00
Match [37]: 1bfe
Match [38]: aea
Match [39]: 1efe
Match [40]: 1c59
Match [41]: 104e
Match [42]: 1b9a
Match [43]: acc
Match [44]: 431
Match [45]: 1a51
Match [46]: 14ab
Match [47]: 14e3
Match [48]: 16ee
Match [49]: 37e
Match [50]: 1ff3
Match [51]: 18d9
Match [52]: 1151
Match [53]: 1ba3
Match [54]: ecb
Match [55]: 1685
Match [56]: 1802
Match [57]: 838
Match [58]: 16f0
Match [59]: 1da5
Match [60]: 1141
Match [61]: fcb
Match [62]: 1bdc
Match [63]: 1f6
RESULT CORRECT: (A*B - B) mod 16 bits
=== FIRST RUN (mode_sw = 1) DONE ===
Match [0]: ac7
Match [1]: 5e6
Match [2]: da4
Match [3]: 96d
Match [4]: baa
Match [5]: 98c
Match [6]: 1a51
Match [7]: 1063
Match [8]: 9b
Match [9]: 1780
Match [10]: 590
Match [11]: 1501
Match [12]: fdb
Match [13]: db9
Match [14]: 1130
Match [15]: a85
Match [16]: 12a
Match [17]: 63e
Match [18]: 1393
Match [19]: efc
Match [20]: 597
Match [21]: 1b2f
Match [22]: 6c1
Match [23]: 1580
Match [24]: 1319
Match [25]: 15c1
Match [26]: 1d8
Match [27]: 1cf9
Match [28]: 972
Match [29]: 922
Match [30]: 199c
Match [31]: a5e
Match [32]: add
Match [33]: 18dc
Match [34]: 146
Match [35]: 706
Match [36]: 1e00
Match [37]: 1bfe
Match [38]: aea
Match [39]: 1efe
Match [40]: 1c59
Match [41]: 104e
Match [42]: 1b9a
Match [43]: acc
Match [44]: 431
Match [45]: 1a51
Match [46]: 14ab
Match [47]: 14e3
Match [48]: 16ee
Match [49]: 37e
Match [50]: 1ff3
Match [51]: 18d9
Match [52]: 1151
Match [53]: 1ba3
Match [54]: ecb
Match [55]: 1685
Match [56]: 1802
Match [57]: 838
Match [58]: 16f0
Match [59]: 1da5
Match [60]: 1141
Match [61]: fcb
Match [62]: 1bdc
Match [63]: 1f6
RESULT CORRECT: (A*B - B) mod 16 bits
Match [0]: ac7
Match [1]: 5e6
Match [2]: da4
Match [3]: 96d
Match [4]: baa
Match [5]: 98c
Match [6]: 1a51
Match [7]: 1063
Match [8]: 9b
Match [9]: 1780
Match [10]: 590
Match [11]: 1501
Match [12]: fdb
Match [13]: db9
Match [14]: 1130
Match [15]: a85
Match [16]: 12a
Match [17]: 63e
Match [18]: 1393
Match [19]: efc
Match [20]: 597
Match [21]: 1b2f
Match [22]: 6c1
Match [23]: 1580
Match [24]: 1319
Match [25]: 15c1
Match [26]: 1d8
Match [27]: 1cf9
Match [28]: 972
Match [29]: 922
Match [30]: 199c
Match [31]: a5e
Match [32]: add
Match [33]: 18dc
Match [34]: 146
Match [35]: 706
Match [36]: 1e00
Match [37]: 1bfe
Match [38]: aea
Match [39]: 1efe
Match [40]: 1c59
Match [41]: 104e
Match [42]: 1b9a
Match [43]: acc
Match [44]: 431
Match [45]: 1a51
Match [46]: 14ab
Match [47]: 14e3
Match [48]: 16ee
Match [49]: 37e
Match [50]: 1ff3
Match [51]: 18d9
Match [52]: 1151
Match [53]: 1ba3
Match [54]: ecb
Match [55]: 1685
Match [56]: 1802
Match [57]: 838
Match [58]: 16f0
Match [59]: 1da5
Match [60]: 1141
Match [61]: fcb
Match [62]: 1bdc
Match [63]: 1f6
RESULT CORRECT: (A*B - B) mod 16 bits
Match [0]: ac7
Match [1]: 5e6
Match [2]: da4
Match [3]: 96d
Match [4]: baa
Match [5]: 98c
Match [6]: 1a51
Match [7]: 1063
Match [8]: 9b
Match [9]: 1780
Match [10]: 590
Match [11]: 1501
Match [12]: fdb
Match [13]: db9
Match [14]: 1130
Match [15]: a85
Match [16]: 12a
Match [17]: 63e
Match [18]: 1393
Match [19]: efc
Match [20]: 597
Match [21]: 1b2f
Match [22]: 6c1
Match [23]: 1580
Match [24]: 1319
Match [25]: 15c1
Match [26]: 1d8
Match [27]: 1cf9
Match [28]: 972
Match [29]: 922
Match [30]: 199c
Match [31]: a5e
Match [32]: add
Match [33]: 18dc
Match [34]: 146
Match [35]: 706
Match [36]: 1e00
Match [37]: 1bfe
Match [38]: aea
Match [39]: 1efe
Match [40]: 1c59
Match [41]: 104e
Match [42]: 1b9a
Match [43]: acc
Match [44]: 431
Match [45]: 1a51
Match [46]: 14ab
Match [47]: 14e3
Match [48]: 16ee
Match [49]: 37e
Match [50]: 1ff3
Match [51]: 18d9
Match [52]: 1151
Match [53]: 1ba3
Match [54]: ecb
Match [55]: 1685
Match [56]: 1802
Match [57]: 838
Match [58]: 16f0
Match [59]: 1da5
Match [60]: 1141
Match [61]: fcb
Match [62]: 1bdc
Match [63]: 1f6
RESULT CORRECT: (A*B - B) mod 16 bits
Match [0]: ac7
Match [1]: 5e6
Match [2]: da4
Match [3]: 96d
Match [4]: baa
Match [5]: 98c
Match [6]: 1a51
Match [7]: 1063
Match [8]: 9b
Match [9]: 1780
Match [10]: 590
Match [11]: 1501
Match [12]: fdb
Match [13]: db9
Match [14]: 1130
Match [15]: a85
Match [16]: 12a
Match [17]: 63e
Match [18]: 1393
Match [19]: efc
Match [20]: 597
Match [21]: 1b2f
Match [22]: 6c1
Match [23]: 1580
Match [24]: 1319
Match [25]: 15c1
Match [26]: 1d8
Match [27]: 1cf9
Match [28]: 972
Match [29]: 922
Match [30]: 199c
Match [31]: a5e
Match [32]: add
Match [33]: 18dc
Match [34]: 146
Match [35]: 706
Match [36]: 1e00
Match [37]: 1bfe
Match [38]: aea
Match [39]: 1efe
Match [40]: 1c59
Match [41]: 104e
Match [42]: 1b9a
Match [43]: acc
Match [44]: 431
Match [45]: 1a51
Match [46]: 14ab
Match [47]: 14e3
Match [48]: 16ee
Match [49]: 37e
